"gram","mon_freq","chn_freq"
"   ",0,1.28874117051206e-06
"  b",0,1.28874117051206e-06
"  c",0,1.28874117051206e-06
"  d",0,3.86622351153617e-06
"  h",0,8.63456584243077e-05
"  j",0,2.57748234102411e-06
"  l",0,1.28874117051206e-06
"  n",0,2.57748234102411e-06
"  p",0,1.28874117051206e-06
"  q",0,6.44370585256028e-06
"  s",0,7.73244702307233e-06
"  t",0,2.57748234102411e-06
"  x",0,3.86622351153617e-06
"  y",0,1.28874117051206e-06
"  z",0,1.28874117051206e-06
" a ",1.6495389538624e-05,1.80423763871688e-05
" ae",0,3.86622351153617e-06
" ao",0,2.57748234102411e-06
" ap",0,3.86622351153617e-06
" at",0,1.28874117051206e-06
" b ",0,1.67536352166567e-05
" ca",1.6495389538624e-05,2.19085998987049e-05
" ce",0,4.25284586268978e-05
" cl",0,1.28874117051206e-06
" co",1.6495389538624e-05,2.19085998987049e-05
" cr",0,3.86622351153617e-06
" cu",0,5.15496468204822e-06
" d ",0,1.93311175576808e-05
" di",3.29907790772479e-05,0.000199754881429369
" dr",0,1.28874117051206e-06
" ea",1.6495389538624e-05,1.93311175576808e-05
" ec",0,1.28874117051206e-06
" et",0,1.28874117051206e-06
" fi",0,3.86622351153617e-06
" fl",0,6.44370585256028e-06
" fo",0,1.03099293640964e-05
" gr",0,3.73734939448496e-05
" h",0,2.57748234102411e-06
" ht",0,1.28874117051206e-06
" in",6.59815581544958e-05,0.000180423763871688
" j ",0,1.28874117051206e-06
" jo",0,3.86622351153617e-06
" ju",0,9.02118819358439e-06
" ka",0,7.73244702307233e-06
" ke",0,3.86622351153617e-06
" ki",0,5.15496468204822e-06
" l ",0,9.02118819358439e-06
" le",0,5.15496468204822e-06
" li",1.6495389538624e-05,0.00026934690463702
" ln",0,1.28874117051206e-06
" me",3.29907790772479e-05,5.54158703320184e-05
" mi",3.29907790772479e-05,4.51059409679219e-05
" n ",0,1.28874117051206e-06
" na",8.24769476931198e-05,0.000106965517152501
" ne",0,9.02118819358439e-06
" ni",0,1.67536352166567e-05
" o ",0,1.28874117051206e-05
" oa",0,1.28874117051206e-06
" oc",0,2.57748234102411e-06
" p ",0,1.28874117051206e-06
" pa",3.29907790772479e-05,9.02118819358439e-05
" pe",0,1.28874117051206e-05
" pi",0,8.89231407653318e-05
" pl",0,5.02609056499702e-05
" po",0,5.41271291615063e-05
" q ",0,5.15496468204822e-06
" qi",0,0.000164958869825543
" qu",0,5.79933526730425e-05
" re",1.6495389538624e-05,2.57748234102411e-05
" ro",0,4.76834233089461e-05
" ru",0,2.57748234102411e-06
" s ",0,1.28874117051206e-06
" sc",0,5.15496468204822e-06
" si",1.6495389538624e-05,3.09297880922893e-05
" sk",0,1.28874117051206e-06
" sl",0,1.28874117051206e-06
" sq",0,1.28874117051206e-05
" t ",0,1.28874117051206e-06
" th",0,3.86622351153617e-06
" ti",1.6495389538624e-05,2.83523057512652e-05
" tr",3.29907790772479e-05,4.25284586268978e-05
" tw",0,1.28874117051206e-06
" vi",0,1.28874117051206e-05
" vl",0,2.19085998987049e-05
" wa",6.59815581544958e-05,0.000113409223005061
" we",1.6495389538624e-05,6.70145408666269e-05
" wi",0,1.28874117051206e-06
" wo",0,0.000136606564074278
" wu",0,9.2789364276868e-05
" x ",0,1.67536352166567e-05
" xh",0,1.28874117051206e-06
" xi",0,0.000944647277985337
" xu",0,1.15986705346085e-05
" y ",0,3.86622351153617e-06
" ye",0,2.57748234102411e-06
" yi",1.6495389538624e-05,0.00040724220988181
" yo",0,9.02118819358439e-06
" yu",6.59815581544958e-05,0.000259036975272923
" z ",0,2.57748234102411e-06
" za",0,5.15496468204822e-06
" ze",0,9.02118819358439e-06
" zo",0,1.54648940461447e-05
" zu",0,4.38171997974099e-05
"a f",0,9.02118819358439e-06
"a i",3.29907790772479e-05,5.15496468204822e-05
"a l",8.24769476931198e-05,0.000113409223005061
"a r",1.6495389538624e-05,3.09297880922893e-05
"a w",1.6495389538624e-05,9.2789364276868e-05
"a x",0,0.000217797257816537
"a y",8.24769476931198e-05,9.79443289589162e-05
"aai",0,6.44370585256028e-06
"aan",0,9.2789364276868e-05
"abe",0,0.000126296634710181
"abo",0,4.6394682138434e-05
"abu",4.94861686158719e-05,0.000170113834507591
"aca",0,0.000139184046415302
"acc",0,1.28874117051206e-06
"ace",0,2.57748234102411e-06
"ach",0.000461870907081471,0.000872477772436662
"aci",1.6495389538624e-05,1.80423763871688e-05
"ack",0,1.28874117051206e-06
"aco",0,3.86622351153617e-06
"act",0,1.28874117051206e-06
"acu",0,0.00244087577694983
"ade",0,1.80423763871688e-05
"adi",0.000115467726770368,0.000644370585256028
"ado",0,0.0001817125050422
"adu",3.29907790772479e-05,0.000113409223005061
"ae ",0,3.86622351153617e-06
"aec",0,2.57748234102411e-06
"aeg",0,1.28874117051206e-06
"aen",0,1.28874117051206e-06
"afa",0.000379393959388351,0.000479411715430485
"afe",0,0.000140472787585814
"aff",0,1.28874117051206e-06
"afo",0,1.03099293640964e-05
"aft",0,1.28874117051206e-06
"afu",0,5.15496468204822e-05
"age",1.6495389538624e-05,0.000213931034305001
"ago",3.29907790772479e-05,0.00313679600902634
"agr",0,1.28874117051206e-06
"agu",0.000214440064002111,0.000444615703826659
"ah",0,2.57748234102411e-06
"ahe",8.24769476931198e-05,0.000618595761845787
"aho",4.94861686158719e-05,0.000105676775981989
"ahu",9.89723372317437e-05,0.000430439550951027
"aia",0,5.28383879909943e-05
"aib",0,0.00017526879918964
"aic",4.94861686158719e-05,0.000800308266887986
"aid",0,0.000252593269420363
"aif",0,0.000114697964175573
"aig",0,0.000506475280011238
"aih",0.000181449284924863,0.000323474033798526
"aij",6.59815581544958e-05,0.00087118903126615
"aik",8.24769476931198e-05,8.37681760832836e-05
"ail",6.59815581544958e-05,0.000493587868306117
"aim",0,0.000283523057512652
"aip",0,0.00028223431634214
"aiq",1.6495389538624e-05,0.000128874117051206
"ais",0.000115467726770368,0.000774533443477745
"ait",0.000181449284924863,0.000342805151356207
"aiw",3.29907790772479e-05,0.000152071458120423
"aix",0,0.00013145159939223
"aiy",0.00016495389538624,0.000722983796657263
"aiz",0,0.00111862733600446
"aji",4.94861686158719e-05,0.00147303115789528
"ako",0.000197944674463487,0.000380178645301056
"aku",3.29907790772479e-05,0.000134029081733254
"ali",0.00103920954093331,0.00212126796666284
"alo",3.29907790772479e-05,0.00033249522199211
"alu",0.000131963116308992,0.000202332363770393
"am",0,2.57748234102411e-06
"ame",6.59815581544958e-05,8.76343995948198e-05
"amo",0,3.22185292628014e-05
"anb",0.00062682480246771,0.000774533443477745
"anc",0.000362898569849727,0.00497969588285858
"ane",4.94861686158719e-05,8.24794349127715e-05
"anf",0,0.00050132031532919
"ang",0.00260627154710258,0.0346478063692166
"anh",0.000923741814162941,0.00134157955850305
"anj",0.000263926232617983,0.00323216285564424
"ank",0.000115467726770368,0.000393066057006177
"anl",4.94861686158719e-05,0.00196919650854242
"anm",6.59815581544958e-05,0.000842836725514884
"anp",0.000131963116308992,0.000905985042869975
"anq",0.000181449284924863,0.000795153302205938
"anr",0,7.47469878896992e-05
"ans",0.000230935453540735,0.00195115413215525
"anw",0.000131963116308992,0.00109285251259422
"anx",0,0.000806751972740547
"any",1.6495389538624e-05,0.00191120315586938
"anz",0.000230935453540735,0.0052915712461225
"aoa",0,0.00015078271694991
"aob",0,0.000567046115025304
"aoc",3.29907790772479e-05,0.00199626007312317
"aod",0,0.000728138761339311
"aof",0,0.000274501869319068
"aog",0,0.00196017532034884
"aoh",3.29907790772479e-05,0.00110445118312883
"aoj",0.000148458505847616,0.00302080930368026
"aok",0.000214440064002111,0.000320896551457502
"aol",0.00105570493047193,0.00150911591066962
"aom",8.24769476931198e-05,0.000581222267900937
"aon",3.29907790772479e-05,0.000242283340056266
"aoo",0,1.28874117051206e-06
"aoq",0,0.000445904444997171
"aor",1.6495389538624e-05,3.35072704333134e-05
"aos",4.94861686158719e-05,0.00111862733600446
"aot",9.89723372317437e-05,0.000826083090298228
"aow",1.6495389538624e-05,0.00102970419523913
"aox",0,0.00060184212662913
"aoy",8.24769476931198e-05,0.00167665226283618
"aoz",0,0.00343449521941463
"ap",0,2.57748234102411e-06
"ap ",0,3.86622351153617e-06
"apa",6.59815581544958e-05,0.000190733693235784
"ape",0,6.83032820371389e-05
"api",1.6495389538624e-05,0.00100650685416992
"apo",1.6495389538624e-05,0.000123719152369157
"aqi",0,0.000387911092324129
"aqu",0,0.000240994598885754
"are",0,2.44860822397291e-05
"arr",0,1.28874117051206e-06
"asi",3.29907790772479e-05,6.83032820371389e-05
"aso",1.6495389538624e-05,5.79933526730425e-05
"ato",0.000131963116308992,0.000327340257310062
"atr",0,1.28874117051206e-06
"atu",0.000148458505847616,0.000672722891007293
"aun",0,3.86622351153617e-06
"aur",0,1.28874117051206e-06
"aut",0,1.28874117051206e-06
"ave",0,2.57748234102411e-06
"aw ",0,7.73244702307233e-06
"awa",0,0.00198079517907703
"awe",0,0.000104388034811477
"awo",0,9.53668466178921e-05
"aws",0,1.28874117051206e-06
"awu",6.59815581544958e-05,0.000211353551963977
"ax ",0,2.57748234102411e-06
"axi",0,0.000563179891513768
"axu",0,7.21695055486751e-05
"ayi",4.94861686158719e-05,0.00100650685416992
"ayo",0,4.38171997974099e-05
