asciiname,geonameid,zh,mn,other,certainty-012,pinyin-compliant,notes
Geliaoba,8555318,y,n,,1,y,
Bayan He,2038406,y,y,,2,y,mixed
Guaishang,8419420,y,n,,0,y,
Bayan Hushu Zhusilang,8443803,n,y,,2,y,
Bayan Tal,8649066,n,y,,2,n,
Wangfu,8555394,y,n,,2,y,
Liu-chia,2048486,y,n,,2,n,wade-giles transliteration; may be translated from Mgl
Xiaoyushuying,8644961,y,n,,1,y,
Beixing,8444580,y,n,,2,y,
Limugou,8545791,y,n,,2,y,
Chaowu Xian,2047544,y,y,,0,y,either mixed or all Chinese; may contain wade-giles
Hongwei,8439621,y,n,,1,y,
Da Suj,2036607,n,n,y,0,n,don't recognize
Xiangtuchang,8544056,y,n,,1,y,
Huofang,8544183,y,n,,1,y,
Toudaoqiao,8648971,y,n,,1,y,
Enhe Hada,8441407,n,y,,2,y,
Wanbaoshan,8444642,y,n,,1,y,
Liaohe,8649514,y,n,y,1,y,Liao River
Hure Qi,2036629,y,y,,2,y,mixed; happens to look like pinyin but isn't; Hure would be Kulun 
Baochang,2038461,y,n,,1,y,
Shelihu Shuiku,8577326,y,y,,0,y,either mixed or all Chinese
Anmoji,8444909,n,n,y,0,y,don't recognize
Beigou,8467658,y,n,,1,y,
Bayan Tal,2038379,n,y,,2,n,
Hongliu Daquan,1529469,y,n,,1,y,
Qiankaoshan,8439611,y,n,,1,y,
Changhan Bulang,8553796,n,y,,2,y,
Naogunmaodun,8524182,n,y,,2,y,
Xigazhu Erzha Laga Jijing,8443786,n,y,y,1,y,almost certainly not Chinese; don't recognize any Mongolian words either
Sidaoliangzi,8467796,y,n,,1,y,
Chenglugou,8555225,y,n,,1,y,
Menggen Tuoya Gacha,8443720,n,y,,2,y,
Wuchagou Southeast,11493721,y,n,y,1,n,contains English
Linjiagebu,8470960,y,n,,0,y,either mixed or all Chinese
Antege,8444599,n,y,y,1,y,either Mongolian or something else
Changsheng,8649074,y,n,,2,y,
Zhangjia Dayuan,8439374,y,n,,2,y,
Sanchakou,2035184,y,n,,1,y,
Bayantala Gacha,8524192,n,y,,2,y,
Naogan Hahasha,8456920,n,y,,1,y,
Shagedu,1796444,n,y,,0,y,
Baileng,2051344,y,n,,0,y,
Dongyingzi,8555283,y,n,,2,y,
Dongyingzi,8644766,y,n,,2,y,
Liufendi,2048601,y,n,,2,y,
Dingjiatun,8439362,y,n,,2,y,
Yu-shu-ling,2048306,y,n,,1,n,contains hyphens
Tuanjie Sidui Nongyedian,8458317,y,n,,2,y,
Zhengjiashan,8416802,y,n,,1,y,
Tost,2034391,n,y,,0,n,
Hongxing Dadui,8524227,y,n,,2,y,
