asciiname,geonameid,zh,mn
Geliaoba,8555318,n,y
Bayan He,2038406,n,y
Guaishang,8419420,y,n
Bayan Hushu Zhusilang,8443803,n,y
Bayan Tal,8649066,n,y
Wangfu,8555394,y,n
Liu-chia,2048486,y,n
Xiaoyushuying,8644961,y,n
Beixing,8444580,y,n
Limugou,8545791,y,n
Chaowu Xian,2047544,y,n
Hongwei,8439621,y,n
Da Suj,2036607,n,y
Xiangtuchang,8544056,y,n
Huofang,8544183,y,n
Toudaoqiao,8648971,y,n
Enhe Hada,8441407,n,y
Wanbaoshan,8444642,y,n
Liaohe,8649514,y,n
Hure Qi,2036629,y,y
Baochang,2038461,y,n
Shelihu Shuiku,8577326,y,y
Anmoji,8444909,n,n
Beigou,8467658,y,n
Bayan Tal,2038379,n,y
Hongliu Daquan,1529469,y,n
Qiankaoshan,8439611,y,n
Changhan Bulang,8553796,n,y
Naogunmaodun,8524182,n,y
Xigazhu Erzha Laga Jijing,8443786,y,y
Sidaoliangzi,8467796,y,n
Chenglugou,8555225,y,n
Menggen Tuoya Gacha,8443720,n,y
Wuchagou Southeast,11493721,y,n
Linjiagebu,8470960,y,n
Antege,8444599,n,y
Changsheng,8649074,y,n
Zhangjia Dayuan,8439374,y,n
Sanchakou,2035184,y,n
Bayantala Gacha,8524192,n,y
Naogan Hahasha,8456920,n,y
Shagedu,1796444,n,y
Baileng,2051344,y,n
Dongyingzi,8555283,y,n
Dongyingzi,8644766,y,n
Liufendi,2048601,y,n
Dingjiatun,8439362,y,n
Yu-shu-ling,2048306,y,n
Tuanjie Sidui Nongyedian,8458317,y,n
Zhengjiashan,8416802,y,n
Tost,2034391,n,y
Hongxing Dadui,8524227,y,n
Ao-pao-t'u,2048211,n,y
Halawu,1808990,n,y
Sijiazi,2034726,y,n
Narenbaolage,8649627,n,y
BAOTOU SHENHUA INTERNATIONAL HO,6494243,y,n
Suosuotou,8524184,n,y
Tongsiyao,8419274,y,n
Zhanglilu Goumen,8467523,y,n
Huret,2036626,n,y
Qiandemen,8649628,n,y
Haibuzi,8644896,y,n
Bayan Gol,2038410,n,y
