"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
1514931,"Yümt Uul","Yuemt Uul","Yumt Uul",44.51667,97.21667,"T","MT","MN","",10,NA,NA,NA,0,NA,1864,"Asia/Hovd","2007-11-02"
1514932,"Yumiin Jisa","Yumiin Jisa","Yumiin Jisa,Yumiin chzhisa",46.2,99.03333,"P","PPL","MN","MN",2,NA,NA,NA,0,NA,1909,"Asia/Ulaanbaatar","2012-01-17"
1514933,"Yöstyökiyn Salaa","Yostyokiyn Salaa","Ai-ssu-t'e-k'o-yin-sa-la,Ai-ssu-t’e-k’o-yin-sa-la,Yostyokiyn Salaa,Yöstyökiyn Salaa",48.11667,88.9,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2110,"Asia/Hovd","2012-01-17"
1514934,"Yarugiin gol","Yarugiin gol","Yarugiin gol,Yoroo Gol,Yöröö Gol",47.7,96.6,"H","STM","MN","",9,NA,NA,NA,0,NA,1698,"Asia/Hovd","2012-01-17"
1514935,"Yolt Gol","Yolt Gol","Elt Gol,Yolt Gol",48,89.03333,"H","STM","MN","",3,NA,NA,NA,0,NA,1739,"Asia/Hovd","2014-08-05"
1514936,"Yihe Uula","Yihe Uula","Gora Ikhe ula,Ih Uul,Yihe Uula",49.81667,99.21667,"T","MT","MN","MN",13,NA,NA,NA,0,NA,1971,"Asia/Ulaanbaatar","2012-01-17"
1514937,"Yihe Uula","Yihe Uula","Gora Ikhe ula,Yihe Uula",49.51667,99.45,"T","MT","MN","MN",13,NA,NA,NA,0,NA,2442,"Asia/Ulaanbaatar","2012-01-17"
1514938,"Yihe Uula","Yihe Uula","Gora Ikhe Ula,Yihe Uul,Yihe Uula",47.66667,95.76667,"T","MT","MN","MN",9,NA,NA,NA,0,NA,1657,"Asia/Hovd","2012-01-17"
1514939,"Yihe Hudag","Yihe Hudag","Ih Hudag,Ikhe khuduk,Yihe Hudag",48.61667,94.3,"H","WLL","MN","MN",9,NA,NA,NA,0,NA,1275,"Asia/Hovd","2012-01-17"
1514940,"Yihe Bulagiin Dugang","Yihe Bulagiin Dugang","Ikhe bulagiin dugang,Yihe Bulagiin Dugang",48.81667,96.55,"P","PPL","MN","MN",9,NA,NA,NA,0,NA,2012,"Asia/Hovd","2012-01-17"
1514941,"Yasaiin Oboo","Yasaiin Oboo","Yasaiin Oboo,Yasuin Obo",47,94.16667,"S","CARN","MN","MN",10,NA,NA,NA,0,NA,1347,"Asia/Hovd","2012-01-17"
1514942,"Yaruugiyn Gol","Yaruugiyn Gol","Yaruu Gol,Yaruugiin Gol,Yaruugiyn Gol,Yaruugiïn Gol",47.8,96.66667,"H","STM","MN","MN",9,NA,NA,NA,0,NA,2209,"Asia/Hovd","2012-01-17"
1514943,"Yargaytïn Us","Yargaytin Us","Ya-erh-kai-t'ing-wu-su,Ya-erh-kai-t’ing-wu-su,Yargaytin Us,Yargaytïn Us",45,93.2,"H","SPNG","MN","MN",10,NA,NA,NA,0,NA,1998,"Asia/Hovd","2012-01-17"
1514944,"Sanchakou Gou","Sanchakou Gou","Sanchakou Gou,Yargaytin Sayr,Yargaytïn Sayr",44.98333,93.21667,"H","WAD","MN","CN",0,NA,NA,NA,0,NA,1763,"Asia/Hovd","2014-03-06"
1514945,"Yarantayn Uul","Yarantayn Uul","Ya-jan-t'ai-yin-wu-la,Ya-jan-t’ai-yin-wu-la,Yarantayn Uul",46.13333,91.01667,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1132,"Asia/Hovd","2012-01-17"
1514946,"Yarantayn Tal","Yarantayn Tal","T'a-k'o-shih-k'en,T’a-k’o-shih-k’en,Yarantayn Tal",46.15,91,"T","PLN","MN","CN",0,NA,NA,NA,0,NA,1198,"Asia/Hovd","2014-03-06"
1514947,"Yaran Hudag","Yaran Hudag","Yarain khuduk,Yaran Hudag,Yarayn Hudag",48.1,95.71667,"H","WLL","MN","MN",9,NA,NA,NA,0,NA,1907,"Asia/Hovd","2012-01-17"
1514948,"Yangirtïn Salaa","Yangirtin Salaa","K'o-tzu-erh-sa-la-kou,K’o-tzu-erh-sa-la-kou,Yangirtin Salaa,Yangirtïn Salaa",46.18333,90.98333,"H","RVN","MN","MN",12,NA,NA,NA,0,NA,1273,"Asia/Hovd","2012-01-17"
1514949,"K’o-tzu-erh-t’a-ssu","K'o-tzu-erh-t'a-ssu","K'o-tzu-erh-t'a-ssu,K’o-tzu-erh-t’a-ssu,Yangirtin Hyasaa Uul,Yangirtïn Hyasaa Uul",46.2,90.95,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1659,"Asia/Hovd","2014-03-06"
1514950,"Yamaat Uul","Yamaat Uul","Ya-ma-t'e-wu-la,Ya-ma-t’e-wu-la,Yamaat Uul",45.08333,92.01667,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1700,"Asia/Hovd","2012-01-17"
1514951,"Yamaatïn Nuruu","Yamaatin Nuruu","Ya-ma-t'e-nu-ju,Ya-ma-t’e-nu-ju,Yamaatin Nuruu,Yamaatïn Nuruu",48.13333,88.96667,"T","MTS","MN","MN",3,NA,NA,NA,0,NA,2613,"Asia/Hovd","2012-01-17"
1514952,"Yamaat Gol","Yamaat Gol","Songinin Gol,Songinïn Gol,Sung-ken-ning-kao-le,Ya-ma-t'e kao-le,Ya-ma-t'e-kao-le,Ya-ma-t’e kao-le,Ya-ma-t’e-kao-le,Yamaat Gol",48.05,89.06667,"H","STM","MN","CN",0,NA,NA,NA,0,NA,1707,"Asia/Hovd","2014-03-06"
1514953,"Yamaata Gol","Yamaata Gol","",49.7,90.65,"H","STM","MN","",19,NA,NA,NA,0,NA,1555,"Asia/Hovd","1994-01-14"
1514954,"Yamaan Usnï Am","Yamaan Usni Am","Ya-man-wu-su-ni-a-mu,Yamaan Usni Am,Yamaan Usnï Am",44.93333,93.58333,"H","WAD","MN","MN",10,NA,NA,NA,0,NA,1831,"Asia/Hovd","2012-01-17"
1514955,"Yamaan Us","Yamaan Us","Ya-man-wu-su,Yamaan Us",44.95,93.58333,"H","SPNG","MN","MN",10,NA,NA,NA,0,NA,1873,"Asia/Hovd","2012-01-17"
1514956,"Yalata Bulag","Yalata Bulag","Ilatu,Rodnik Yalatu bulak,Yalata Bulag",47.16667,99.33333,"H","SPNG","MN","MN",2,NA,NA,NA,0,NA,2332,"Asia/Ulaanbaatar","2012-01-17"
1514957,"Yaaruugiin Hüryee","Yaaruugiin Huryee","Yaaruugiin Huryee,Yaaruugiin Hüryee,Yarugiin Khure",47.71667,96.6,"P","PPL","MN","MN",9,NA,NA,NA,0,NA,1792,"Asia/Hovd","2012-01-17"
1514958,"Uzun Huyte Gol","Uzun Huyte Gol","",48.61667,88.33333,"H","STM","MN","",3,NA,NA,NA,0,NA,2078,"Asia/Hovd","1994-01-14"
1514959,"Üyörtiyn Gol","Uyortiyn Gol","Uyortiyn Gol,Wu-yeh-erh-t'e-kao-le,Wu-yeh-erh-t’e-kao-le,Üyörtiyn Gol",47.55,90.68333,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2365,"Asia/Hovd","2012-01-17"
1514960,"Sai-i-li-ken-ta-fan","Sai-i-li-ken-ta-fan","Sai-i-li-ken-ta-fan,Uyortiyn Davaa,Üyörtiyn Davaa",47.45,90.46667,"T","PASS","MN","CN",0,NA,NA,NA,0,NA,3362,"Asia/Hovd","2014-03-06"
1514961,"Uyenchi Somon","Uyenchi Somon","Uinchi sumu,Uyenchi,Uyenchi Somon,Uyenchi Suma,Uyonch,Üyenchi Suma,Üyönch",46.05,92.01667,"P","PPLA2","MN","",12,NA,NA,NA,0,NA,1378,"Asia/Hovd","2012-01-17"
1514962,"Uygariin Gol","Uygariin Gol","Oygur,Oyguriin Gol,Uygar Gol,Uygariin Gol",49.33333,88.7,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2351,"Asia/Hovd","2012-01-17"
1514963,"Oigor Gol","Oigor Gol","Ih Uygar Gol,Uigar Gol,Uigur Gol,Urd Uygar,Uygar Gol,Uïgar Gol",49.31667,88.584,"H","STM","MN","",3,NA,NA,NA,0,NA,2278,"Asia/Hovd","2014-08-06"
1514964,"Üyench Gol","Uyench Gol","Reka Narin,Reka Uyunchi,Uinchi-Gol,Uonch gol,Uyench Gol,Uyenchi Gol,Uyonch Gol,Uyunchi Kawa,Uyönch Gol,Wu-yun-ch'i Ho,Wu-yün-ch’i Ho,Üyench Gol,Üyenchi Gol,Üönch gol",45.95,91.9,"H","STM","MN","MN",12,NA,NA,NA,0,NA,1244,"Asia/Hovd","2012-01-17"
