"gram","mon_freq","chn_freq"
"  e",3.29907790772479e-05,0
"  g",3.29907790772479e-05,0
"  r",1.6495389538624e-05,0
" aa",6.59815581544958e-05,0
" ab",1.6495389538624e-05,0
" ac",1.6495389538624e-05,1.28874117051206e-06
" ad",6.59815581544958e-05,0
" ag",6.59815581544958e-05,1.28874117051206e-06
" ah",1.6495389538624e-05,0
" ai",0.000346403180311103,5.92820938435546e-05
" al",0.000148458505847616,1.28874117051206e-06
" am",6.59815581544958e-05,0
" an",1.6495389538624e-05,1.41761528756326e-05
" aq",1.6495389538624e-05,0
" ar",0.000296917011695231,6.44370585256028e-06
" as",0.000131963116308992,2.57748234102411e-06
" av",1.6495389538624e-05,3.86622351153617e-06
" ay",0.000395889348926975,0
" az",6.59815581544958e-05,0
" ba",0.00163304356432377,6.57257996961148e-05
" be",0.00016495389538624,0.000108254258323013
" bi",1.6495389538624e-05,1.28874117051206e-05
" bo",0.000676310971083582,1.67536352166567e-05
" br",8.24769476931198e-05,5.15496468204822e-06
" bu",0.0051630569255893,5.79933526730425e-05
" ch",0.00148458505847616,0.000247438304738315
" ci",3.29907790772479e-05,2.96410469217773e-05
" da",0.00293617933787506,0.000215219775475513
" de",0.000989723372317437,1.28874117051206e-05
" do",0.000412384738465599,0.000143050269926838
" du",0.00270524388433433,5.15496468204822e-06
" dy",1.6495389538624e-05,5.15496468204822e-06
" eh",0.000197944674463487,0
" el",0.000379393959388351,5.15496468204822e-06
" en",0.000115467726770368,1.28874117051206e-06
" er",0.000379393959388351,3.99509762858737e-05
" ex",1.6495389538624e-05,1.15986705346085e-05
" fa",4.94861686158719e-05,3.22185292628014e-05
" fe",1.6495389538624e-05,1.28874117051206e-05
" fr",1.6495389538624e-05,2.57748234102411e-06
" fu",1.6495389538624e-05,7.73244702307233e-06
" ga",0.000494861686158719,5.15496468204822e-05
" ge",0.000560843244313214,0.000152071458120423
" gi",4.94861686158719e-05,1.28874117051206e-06
" gl",1.6495389538624e-05,5.15496468204822e-06
" go",0.0095013443742474,0.000802885749229011
" gu",0.000445375517542847,0.000268058163466508
" h ",1.6495389538624e-05,1.03099293640964e-05
" ha",0.00366197647757452,6.83032820371389e-05
" he",0.000131963116308992,0.000125007893539669
" hi",0.00376094881480626,5.28383879909943e-05
" ho",0.00346403180311103,0.000500031574158678
" hu",0.0195470366032694,0.000148205234608886
" hv",1.6495389538624e-05,1.28874117051206e-06
