"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","mon","chn","mon_grams","chn_grams","mon_sel","chn_sel","class"
1529079,"Wutonggou","wutonggou","Khuduk Utungou,Utungou Well,Wu-t'ung-kou,Wu-t’ung-kou,Wutonggou,wu tong gou,梧桐沟",40.7189,98.6114,"P","PPL",FALSE,FALSE,6,7,0,1,"Chinese"
1529135,"Tianshuijing","tianshuijing","",42.43333,97.56667,"P","PPL",FALSE,FALSE,9,11,0,2,"Chinese"
1529198,"Shiban Jing","shiban jing","Shiban Jing,Shih-pan Ching",41.76667,98.4,"H","WLL",FALSE,FALSE,9,10,0,1,"Chinese"
1529255,"Qinghekou","qinghekou","",42.4,98.23333,"H","WLL",FALSE,TRUE,7,7,1,1,"Tie"
1529296,"Nanquan","nanquan","Lan'chyuan',Lan-ch'uan,Lan-ch’üan,Lan’chyuan’,Nan-ch'uan,Nan-ch’üan,Nanquan",40.91667,98.35,"P","PPL",FALSE,TRUE,4,6,0,2,"Chinese"
1529335,"Lu Jing","lu jing","Lu Ching,Lu Jing",41.86667,99.46667,"H","WLL",FALSE,FALSE,6,6,1,1,"Tie"
1529468,"Hongliugou","hongliugou","",41.46667,97.96667,"P","PPL",FALSE,FALSE,6,8,0,2,"Chinese"
1529469,"Hongliu Daquan","hongliu daquan","Hongliu Daquan,Hung-liu-ta Ch'uan,Hung-liu-ta Ch’üan,Khunlyudatsyuan Spring",40.98333,98.53333,"H","SPNG",FALSE,TRUE,10,13,0,3,"Chinese"
1529486,"Haju","haju","Ha-chu,Haju",42.16667,98.61667,"P","PPL",FALSE,TRUE,2,3,0,1,"Chinese"
1529579,"Bor Ul Shan","bor ul shan","Bor Ul Shan,Pao-erh-wu-la Shan",41.5,98.6,"T","MTS",FALSE,FALSE,9,6,3,0,"Mongolian"
1529596,"Beishan","beishan","Beishan,Pei-shan",40.75,98.63333,"P","PPL",FALSE,FALSE,5,5,1,1,"Tie"
1783624,"Zuitou Hu","zuitou hu","",38.23333,103.95,"H","LK",FALSE,FALSE,5,8,0,3,"Chinese"
1783712,"Zinihu","zinihu","Tzu-ni-hu,Zinihu",39.06667,105.4,"P","PPL",FALSE,FALSE,4,4,0,0,"Tie"
1783713,"Zini Hu","zini hu","",39.1,105.45,"H","LK",FALSE,FALSE,5,6,0,1,"Chinese"
1783848,"Zhuozi Shan","zhuozi shan","Cho-tzu Shan,Chu-tzu-shan,Zhuozi Shan,zhuo zi shan,桌子山",39.64639,107.00833,"T","MTS",FALSE,TRUE,6,8,0,2,"Chinese"
