"geonameid","hasuntuya_asciiname","hasuntuya_zh","hasuntuya_mn","sarala_asciiname","sarala_zh","sarala_mn","sarala_other","sarala_certainty.012","sarala_pinyin.compliant","sarala_notes","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","mon_sel","mon_grams","chn_sel","class","chn_grams"
1529079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wutonggou","wutonggou","Khuduk Utungou,Utungou Well,Wu-t'ung-kou,Wu-t’ung-kou,Wutonggou,wu tong gou,梧桐沟",40.7189,98.6114,"P","PPL",0,"",7,"Chinese","ggo;gou;ngg;ong;ton;uto;wut"
1529135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tianshuijing","tianshuijing","",42.43333,97.56667,"P","PPL",0,"",11,"Chinese","ans;hui;ian;iji;ing;j;jin;nsh;shu;tia;uij"
1529198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shiban Jing","shiban jing","Shiban Jing,Shih-pan Ching",41.76667,98.4,"H","WLL",4," ji;an ;hib;n j",6,"Chinese","ban;iba;ing;j;jin;shi"
1529255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qinghekou","qinghekou","",42.4,98.23333,"H","WLL",1,"e",7,"Chinese","eko;ghe;hek;ing;kou;ngh;qin"
1529296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nanquan","nanquan","Lan'chyuan',Lan-ch'uan,Lan-ch’üan,Lan’chyuan’,Nan-ch'uan,Nan-ch’üan,Nanquan",40.91667,98.35,"P","PPL",0,"",6,"Chinese","anq;nan;nqu;qu;qua;uan"
1529335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lu Jing","lu jing","Lu Ching,Lu Jing",41.86667,99.46667,"H","WLL",4," ji;lu;lu ;u j",3,"Mongolian","ing;j;jin"
1529468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hongliugou","hongliugou","",41.46667,97.96667,"P","PPL",0,"",8,"Chinese","gli;gou;hon;iug;liu;ngl;ong;ugo"
1529469,"Hongliu Daquan","y","n","Hongliu Daquan","y","n","",1,"y","","Hongliu Daquan","hongliu daquan","Hongliu Daquan,Hung-liu-ta Ch'uan,Hung-liu-ta Ch’üan,Khunlyudatsyuan Spring",40.98333,98.53333,"H","SPNG",3," da;iu ;u d",10,"Chinese","aqu;daq;gli;hon;liu;ngl;ong;qu;qua;uan"
1529486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haju","haju","Ha-chu,Haju",42.16667,98.61667,"P","PPL",2,"aju;haj",1,"Mongolian","j"
1529579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bor Ul Shan","bor ul shan","Bor Ul Shan,Pao-erh-wu-la Shan",41.5,98.6,"T","MTS",8," sh; ul;bor;l s;or ;r u;ul;ul ",2,"Mongolian","han;sha"
1529596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beishan","beishan","Beishan,Pei-shan",40.75,98.63333,"P","PPL",1,"e",5,"Chinese","bei;eis;han;ish;sha"
1783624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zuitou Hu","zuitou hu","",38.23333,103.95,"H","LK",2," hu;u h",6,"Chinese"," h;ito;ou ;tou;uit;zui"
1783712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zinihu","zinihu","Tzu-ni-hu,Zinihu",39.06667,105.4,"P","PPL",2,"nih;zin",2,"Tie","ihu;ini"
1783713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zini Hu","zini hu","",39.1,105.45,"H","LK",4," hu;i h;ni ;zin",2,"Mongolian"," h;ini"
1783848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhuozi Shan","zhuozi shan","Cho-tzu Shan,Chu-tzu-shan,Zhuozi Shan,zhuo zi shan,桌子山",39.64639,107.00833,"T","MTS",2," sh;i s",6,"Chinese","han;huo;ozi;sha;uoz;zhu"
1783849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhuozi Shan","zhuozi shan","A-la-pu-so Shan,Alapusushan,Cho-tzu Shan,Zhuozi Shan,zhuo zi shan,桌子山",39.56797,107.03559,"T","MT",2," sh;i s",6,"Chinese","han;huo;ozi;sha;uoz;zhu"
1784142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhoujiatian","zhoujiatian","",38.75,105.68333,"P","PPL",1,"ati",9,"Chinese","hou;ian;iat;j;jia;ouj;tia;uji;zho"
1784997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhangzihu","zhangzihu","",37.88333,104.76667,"P","PPL",0,"",7,"Chinese","ang;gzi;han;ihu;ngz;zha;zih"
1785200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhangjiagetai","zhangjiagetai","",39.63333,110.36667,"P","PPL",2,"e;get",11,"Chinese","age;ang;eta;gji;han;iag;j;jia;ngj;tai;zha"
1785392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhaijia","zhaijia","Chai-chia,Zhaijia",37.73333,103.93333,"P","PPL",0,"",6,"Chinese","aij;hai;iji;j;jia;zha"
1785608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yushuwan","yushuwan","",39.4275,111.24722,"P","PPL",0,"",6,"Chinese","huw;shu;ush;uwa;wan;yus"
1785936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yuejiajing","yuejiajing","Yueh-chia-ching,Yuejiajing,Yüeh-chia-ching",37.58333,104.31667,"P","PPL",1,"e",9,"Chinese","aji;eji;iaj;ing;j;jia;jin;uej;yue"
1786691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yiketian","yiketian","",39.13333,105.96667,"P","PPL",4,"e;eti;ike;ket",4,"Tie","ian;ke;tia;yik"
1786807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemajing","yemajing","Yeh-ma-ching,Yemajing",39.55,102.95,"P","PPL",1,"e",8,"Chinese","aji;ema;ing;j;jin;ma;maj;yem"
